resource_id1,resource_id2,Exposition Coherence,Novelty
231eb4ad-d0e8-4e94-a552-f8bd2358a47a,0b248202-12a9-405b-acd1-4ab8250e4198,0.8490382070520945,0.02539518929999453
0b248202-12a9-405b-acd1-4ab8250e4198,2ee6f80f-0851-4cfa-b4bf-2655e9c46ab7,0.490130058690728,0.3334041903565088
2ee6f80f-0851-4cfa-b4bf-2655e9c46ab7,81c6995c-dd95-418e-a8c4-c22d8ccd32e9,1,0
81c6995c-dd95-418e-a8c4-c22d8ccd32e9,15a464a4-a2d8-41dd-b00e-ff7fea0aa720,0,0
1b922fae-619f-4f52-9551-663b3206e4e5,8b9c50e6-e568-48f7-afee-91f46c8fb523,0.7446210859058505,0.21754469120194295
8b9c50e6-e568-48f7-afee-91f46c8fb523,0882e4d2-a8c8-4ec4-b3f2-513dd9dd1930,0.6477919920849604,0.32742630106504983
0882e4d2-a8c8-4ec4-b3f2-513dd9dd1930,0598accc-df55-4f03-9bb3-09bdd9a4acc6,0.4613826327863876,0.3136299642344247
0598accc-df55-4f03-9bb3-09bdd9a4acc6,8587312a-fd96-4256-928b-230462bbc65d,0.7706359091462744,0.46514513944521196
8587312a-fd96-4256-928b-230462bbc65d,b5597241-7c75-489f-8bb1-cb8693cf5465,0.8819433398963735,0.41934690144362385
19403f29-1e4c-4204-88c3-45f0669120a3,9478385a-246f-4f86-8ea3-834fabe93d80,0.6841258845353245,0.15481409555004502
9478385a-246f-4f86-8ea3-834fabe93d80,b0320359-87f5-4697-be03-554ab72ad377,0.893024247366648,0.2036733676762688
b0320359-87f5-4697-be03-554ab72ad377,6a3ce9a2-dd08-4e81-88d0-a354a80230f7,0.9221463351453751,0.21423274632535
6a3ce9a2-dd08-4e81-88d0-a354a80230f7,7cae3baf-d1ef-496e-8e13-e56346a8f3cb,0.5980685691658119,0.11601932508363641
7cae3baf-d1ef-496e-8e13-e56346a8f3cb,46fda8ac-7f33-4e84-81f0-774334fd3357,0.35742256459505134,0.43609881044288656
